0;0;0;0;land;false;unknown;0
1;223;253;251;land;false;plains;1
2;122;246;143;land;false;plains;1
3;205;132;169;land;true;plains;1
4;156;236;246;land;false;plains;1
5;239;195;118;land;false;plains;1
6;197;251;155;land;false;plains;1
7;228;173;205;land;true;urban;1
8;221;98;195;land;true;plains;1
9;182;230;90;land;false;plains;1
10;135;252;126;land;false;plains;1
11;209;230;233;land;true;plains;1
12;98;213;209;land;false;plains;1
13;187;167;192;land;false;plains;1
14;244;231;82;land;false;plains;1
15;214;217;229;land;false;plains;1
16;158;207;253;land;true;plains;1
17;197;146;178;land;false;plains;1
18;177;172;249;land;false;plains;1
19;193;108;208;land;false;plains;1
20;236;213;205;land;false;plains;1
21;227;204;162;land;false;plains;1
22;151;149;238;land;false;plains;1
23;114;227;223;land;false;plains;1
24;212;193;142;land;false;plains;1
25;215;173;123;land;true;plains;1
26;187;225;99;land;false;plains;1
27;249;247;201;land;false;plains;1
28;108;245;210;land;false;plains;1
29;248;216;202;land;false;plains;1
30;254;153;196;land;false;plains;1
31;243;250;147;land;false;plains;1
32;218;178;245;land;false;plains;1
33;132;150;230;land;true;plains;1
34;222;165;197;land;false;plains;1
35;191;189;140;land;false;plains;1
36;252;109;165;land;false;plains;1
37;213;185;153;land;false;plains;1
38;206;197;207;land;false;plains;1
39;231;189;125;land;false;plains;1
40;236;175;183;land;false;plains;1
41;195;240;106;land;false;plains;1
42;129;193;241;land;false;plains;1
43;186;196;142;land;false;plains;1
44;199;186;182;land;false;plains;1
45;125;227;248;land;false;plains;1
46;224;55;227;land;false;plains;1
47;159;231;142;land;false;plains;1
48;242;235;165;land;false;plains;1
49;230;235;44;land;false;plains;1
50;155;207;245;land;false;plains;1
51;229;137;156;land;true;plains;1
52;192;208;155;land;false;plains;1
53;176;178;215;land;false;plains;1
54;213;238;237;land;false;plains;1
55;240;253;69;land;false;plains;1
56;240;155;240;land;false;plains;1
57;176;168;190;land;false;plains;1
58;240;243;70;land;false;plains;1
59;223;224;74;land;true;plains;1
60;205;121;249;land;false;plains;1
61;114;184;236;land;true;plains;1
62;219;54;246;land;false;plains;1
63;224;134;251;land;false;plains;1
64;233;160;164;land;false;plains;1
65;253;17;232;land;false;plains;1
66;155;132;234;land;false;plains;1
67;136;209;249;land;false;plains;1
68;207;136;191;land;false;plains;1
69;204;164;233;land;false;plains;1
70;155;220;242;land;false;plains;1
71;199;149;155;land;true;plains;1
72;213;51;252;land;false;plains;1
73;177;192;168;land;false;plains;1
74;203;244;55;land;false;plains;1
75;208;85;221;land;true;plains;1
