1;arms_factory;10.00;11.55;2038.00;1.16;0
1;arms_factory;9.00;10.90;2020.00;5.28;0
1;arms_factory;11.00;11.80;2046.00;0.21;0
1;arms_factory;29.00;10.98;2042.00;3.23;0
1;arms_factory;4.00;12.40;2041.00;1.07;0
1;arms_factory;6.00;10.50;2012.00;3.73;0
1;industrial_complex;12.00;11.30;2033.00;0.11;0
1;industrial_complex;38.00;11.10;2038.00;1.67;0
1;industrial_complex;10.00;11.60;2035.00;5.80;0
1;industrial_complex;27.00;10.55;2032.00;0.72;0
1;industrial_complex;21.00;11.00;2028.00;4.84;0
1;industrial_complex;33.00;11.00;2040.00;0.12;0
1;air_base;4.00;11.20;2022.00;2.78;0
1;naval_base;30.00;9.65;2008.00;0.32;18464
1;naval_base;13.00;9.55;2009.00;-0.24;18464
1;naval_base;3.00;9.65;2009.00;-0.12;18464
1;bunker;17.00;10.75;2019.00;1.23;0
1;bunker;37.00;11.10;2042.00;5.35;0
1;bunker;8.00;11.78;2041.00;5.45;0
1;bunker;18.00;10.20;2010.00;3.29;0
1;bunker;26.00;10.40;2011.00;5.96;0
1;bunker;3.00;10.50;2012.00;2.34;0
1;coastal_bunker;35.00;9.55;2008.00;0.32;0
1;coastal_bunker;2.00;9.65;2009.00;-0.12;0
1;coastal_bunker;10.00;9.55;2009.00;-0.24;0
1;dockyard;20.00;9.55;2009.00;-0.24;0
1;anti_air_building;19.00;11.40;2043.00;3.81;0
1;anti_air_building;18.00;10.90;2020.00;0.19;0
1;anti_air_building;36.00;10.45;2012.00;2.85;0
1;synthetic_refinery;15.00;11.00;2027.00;4.41;0
1;fuel_silo;29.00;10.85;2039.00;2.25;0
1;radar_station;20.00;11.10;2028.00;5.72;0
1;rocket_site;17.00;10.50;2016.00;1.30;0
1;nuclear_reactor;14.00;11.15;2029.00;2.86;0
2;arms_factory;938.00;10.40;2045.00;0.21;0
2;arms_factory;950.00;10.30;2043.00;3.23;0
2;arms_factory;958.00;10.40;2043.00;1.07;0
2;arms_factory;958.00;10.40;2043.00;3.73;0
2;arms_factory;957.00;10.60;2045.00;0.11;0
2;arms_factory;957.00;10.60;2045.00;1.67;0
2;industrial_complex;933.00;10.45;2046.00;5.80;0
2;industrial_complex;954.00;10.45;2044.00;0.72;0
2;industrial_complex;954.00;10.45;2044.00;4.84;0
2;industrial_complex;930.00;10.40;2045.00;0.12;0
2;industrial_complex;945.00;10.40;2046.00;2.78;0
2;industrial_complex;952.00;10.55;2046.00;5.45;0
2;air_base;950.00;10.30;2043.00;2.19;0
2;naval_base;935.00;9.65;2044.00;-1.19;18739
2;bunker;950.00;10.43;2045.00;1.23;0
2;coastal_bunker;918.00;9.65;2046.00;-1.19;0
2;dockyard;953.00;9.65;2042.00;-1.19;0
